13482.72	10245.76
13482.8	10245.84
13482.88	10245.92
13482.96	10246
13483.04	10246.08
13483.12	10246.16
13483.2	10246.24
13483.28	10246.32
13483.36	10246.48
13483.44	10246.56
13483.52	10246.64
13483.6	10246.72
13483.68	10246.8
13483.76	10246.88
13483.84	10246.96
13483.92	10247.04
13484	10247.12
13484.08	10247.2
13484.16	10247.28
13484.24	10247.36
13484.32	10247.44
13484.4	10247.52
13484.48	10247.6
13484.56	10247.68
13484.64	10247.76
13484.72	10247.84
13484.8	10247.92
13484.88	10248
13484.96	10248.08
13485.04	10248.16
13485.12	10248.32
13485.2	10248.4
13485.28	10248.48
13485.36	10248.56
13485.44	10248.64
13485.52	10248.72
13485.6	10248.8
13485.68	10248.88
13485.76	10248.96
13485.84	10249.04
13485.92	10249.12
13486	10249.2
13486.08	10249.28
13486.16	10249.36
13486.24	10249.44
13486.32	10249.52
13486.4	10249.6
13486.48	10249.68
13486.56	10249.76
13486.64	10249.84
13486.72	10249.92
13486.8	10250
13486.88	10250.08
13486.96	10250.16
13487.04	10250.24
13487.12	10250.32
13487.2	10250.4
13487.28	10250.48
13487.36	10250.56
13487.44	10250.64
13487.52	10250.72
13487.6	10250.8
13487.68	10250.88
13487.76	10250.96
13487.84	10251.04
13487.92	10251.12
13488	10251.28
13488.08	10251.36
13488.16	10251.44
13488.24	10251.52
13488.32	10251.6
13488.4	10251.68
13488.48	10251.76
13488.56	10251.84
13488.64	10251.92
13488.72	10252
13488.8	10252.08
13488.88	10252.16
13488.96	10252.24
13489.04	10252.32
13489.12	10252.4
13489.2	10252.48
13489.28	10252.56
13489.36	10252.64
13489.44	10252.72
13489.52	10252.8
13489.6	10252.88
13489.68	10252.96
13489.76	10253.04
13489.84	10253.12
13489.92	10253.2
13490	10253.28
13490.08	10253.36
13490.16	10253.44
13490.24	10253.52
13490.32	10253.6
13490.4	10253.68
13490.48	10253.76
13490.56	10253.84
13490.64	10253.92
13490.72	10254
13490.8	10254.08
13490.88	10254.16
13490.96	10254.24
13491.04	10254.32
13491.12	10254.4
13491.2	10254.48
13491.28	10254.56
13491.36	10254.64
13491.44	10254.72
13491.52	10254.8
13491.6	10254.88
13491.68	10254.96
13491.76	10255.04
13491.84	10255.12
13491.92	10255.2
